fixation_duration,pupil_x,pupil_y,dispersion_x,dispersion_y,eeg_mean,eeg_std,eeg_min,eeg_max,eeg_median,eeg_var,eeg_count
234.0,86.4,77.4,2.0,5.0,0.5198711322580646,1.1729316233843405,-2.29655,2.231822,0.9463745,1.3757685931350245,310.0
199.0,79.0,63.5,5.0,10.0,0.5257979645161291,1.1660408337464645,-2.196073,2.213666,0.9652235,1.3596512259641502,310.0
133.0,85.8,76.5,6.0,7.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
299.0,91.8,72.0,2.0,9.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
366.0,91.7,72.5,14.0,6.0,0.3952550193548387,0.9127957485630437,-1.446915,1.408885,0.984144,0.8331960785947672,310.0
333.0,92.9,74.0,8.0,8.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
299.0,92.9,74.8,9.0,6.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
163.0,81.6,74.0,6.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
133.0,84.8,75.8,2.0,3.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
232.0,74.7,66.9,3.0,8.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
233.0,84.4,67.3,1.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
231.0,83.3,75.9,7.0,13.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,86.7,80.3,2.0,3.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
332.0,91.1,78.8,30.0,16.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,90.7,79.0,1.0,5.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,81.3,74.0,1.0,3.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,77.7,70.7,2.0,1.0,0.5330662193548387,1.1580955441722152,-2.072855,2.191401,0.9797754999999999,1.341185289431539,310.0
199.0,76.7,67.2,1.0,4.0,0.3660020677419355,0.8921485426955384,-1.348797,1.320676,0.9362379999999999,0.7959290222337729,310.0
99.0,85.0,75.3,3.0,3.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,88.3,74.0,2.0,0.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
598.0,89.1,77.7,4.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
298.0,83.7,69.1,3.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
100.0,88.7,72.7,0.0,1.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
399.0,96.7,80.4,3.0,7.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
232.0,93.7,75.4,6.0,8.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
232.0,93.1,76.9,5.0,2.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
266.0,97.5,82.4,3.0,7.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
265.0,94.9,78.5,3.0,2.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
99.0,95.7,80.0,0.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
498.0,82.8,70.9,5.0,8.0,0.3188721032258064,0.8575001335678457,-1.355863,1.441397,0.8250505,0.7353064790688733,310.0
565.0,99.1,83.0,10.0,5.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
698.0,94.5,76.8,8.0,8.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
233.0,88.1,71.0,5.0,9.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
166.0,90.0,72.2,1.0,1.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
233.0,84.9,75.3,3.0,1.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
100.0,77.7,81.7,5.0,4.0,0.5497329064516129,1.004788705279204,-1.483082,1.943741,1.101416,1.009600342256659,310.0
300.0,83.3,72.2,5.0,7.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
132.0,88.5,75.5,4.0,2.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
399.0,94.6,77.6,4.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
332.0,86.8,73.4,3.0,4.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
199.0,93.0,77.7,2.0,8.0,0.10271615806451613,1.4998030397960187,-2.111809,2.877024,-0.6856815,2.249409158181378,310.0
